"College","Control Number","Course ID","TOP Code","Credit Status","Maximum Units","Minimum Units","Basic Skills Status","SAM Status","Prior To Transfer Status","Non-Credit Category","Funding Category","Non-Credit Minimum Hours","Non-Credit Maximum Hours","Issue/Update Date"
"Cabrillo","CCC000359429","SB-126C     ","050100","D","00.50","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359411","SPCOM-7     ","150600","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359412","CIS-160DH   ","070800","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359398","N16         ","123010","D","01.50","01.50","N","D","Y","Y","B",,,"20180901"
"Cabrillo","CCC000359393","JOURN-50    ","060200","D","03.00","03.00","N","B","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359400","ECE-168     ","130500","D","10.00","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359681","ECE157B     ","130500","D","03.00","03.00","N","B","Y","Y","Y",,,"20180722"
"Cabrillo","CCC000359665","RT-161XT    ","122500","D","01.00","01.00","N","B","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359619","ESL-280A    ","493087","C","02.00","02.00","B","E","B","Y","Y",,,"20100629"
"Cabrillo","CCC000359632","SMBU-120TAX ","050100","D","01.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359641","PS5         ","220700","D","03.00","03.00","N","E","Y","Y","Y",,,"20180728"
"Cabrillo","CCC000359644","ART-24AB    ","100200","D","03.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359580","CS-1L       ","070600","D","02.00","00.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359600","KIN-46      ","083500","D","02.00","00.50","N","E","Y","Y","Y",,,"20110209"
"Cabrillo","CCC000359605","CIS-199C    ","070800","D","04.00","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359554","MA-160      ","120800","D","01.00","01.00","N","C","Y","Y","Y",,,"20121106"
"Cabrillo","CCC000359540","CABT-140    ","070100","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359568","MUS-85E     ","100400","D","01.00","01.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359574","TA85B       ","100700","D","03.00","01.00","N","E","Y","Y","Y",,,"20180906"
"Cabrillo","CCC000359575","CJ-190C     ","210500","D","01.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359570","CHEM-2      ","190500","D","04.00","04.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359763","ANTHRO-3LD  ","220200","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359770","ADAPT-92    ","083500","D","02.00","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359774","CJ-155D     ","210500","D","15.00","00.05","N","D","Y","Y","Y",,,"20160201"
"Cabrillo","CCC000359812","SB-120CC    ","050100","D","00.50","00.50","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359694","N-104A      ","123010","D","01.00","01.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359707","CAHM168     ","130630","D","03.00","03.00","N","C","Y","Y","Y",,,"20180629"
"Cabrillo","CCC000359715","EDUC-80     ","080100","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
